,Location1,Location2,Strand,Length,PID,Gene,Synonym,Code,COG,Product
3433,3813932,3814387,+,151,1790071,dut,b3640,-,-,deoxyuridinetriphosphatase
3434,3814494,3815090,+,198,87082302,slmA,b3641,-,-,"nucleoid occlusion factor, anti-FtsZ division inhibitor"
3435,3815127,3815768,-,213,1790073,pyrE,b3642,-,-,orotate phosphoribosyltransferase
3436,3816676,3817539,+,287,1790075,yicC,b3644,-,-,UPF0701 family protein
3437,3817760,3818584,+,274,87082303,dinD,b3645,-,-,DNA damage-inducible protein
3438,3818874,3819491,+,205,87082304,yicG,b3646,-,-,UPF0126 family inner membrane protein
3439,3819488,3821170,-,560,87082305,ligB,b3647,-,-,"DNA ligase, NAD(+)-dependent"
3440,3821428,3822051,+,207,1790080,gmk,b3648,-,-,guanylate kinase
3441,3822106,3822381,+,91,1790081,rpoZ,b3649,-,-,"RNA polymerase, omega subunit"
3442,3822400,3824508,+,702,1790082,spoT,b3650,-,-,"bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase"
3443,3824515,3825204,+,229,1790083,trmH,b3651,-,-,"tRNA mG18-2'-O-methyltransferase, SAM-dependent"
3444,3825210,3827291,+,693,2367254,recG,b3652,-,-,ATP-dependent DNA helicase
3445,3827460,3828665,-,401,1790085,gltS,b3653,-,-,glutamate transporter
3446,3828945,3830336,+,463,1790087,xanP,b3654,-,-,xanthine permease
3447,3830457,3832166,+,569,1790088,yicH,b3655,-,-,putative inner membrane-anchored periplasmic AsmA family protein
3448,3832219,3834537,-,772,2367256,yicI,b3656,-,-,putative alpha-glucosidase
3449,3834547,3835929,-,460,87082306,yicJ,b3657,-,-,putative transporter
3450,3836953,3838137,+,394,1790091,setC,b3659,-,-,putative arabinose efflux transporter
3451,3838248,3839171,+,307,1790092,yicL,b3660,-,-,EamA family inner membrane putative transporter
3452,3839175,3839993,-,272,1790093,nlpA,b3661,-,-,cytoplasmic membrane lipoprotein-28
3453,3840215,3840508,+,97,87082307,yicS,b4555,-,-,putative periplasmic protein
3454,3840549,3841739,-,396,145693198,nepI,b3662,-,-,putative transporter
3455,3841950,3842402,-,150,87082308,yicN,b3663,-,-,DUF1198 family protein
3456,3842455,3843789,-,444,87082309,yicO,b3664,-,-,putative adenine permease
3457,3843964,3845730,+,588,1790098,ade,b3665,-,-,cryptic adenine deaminase
3458,3845776,3847167,-,463,2367259,uhpT,b3666,-,-,hexose phosphate transporter
3459,3847305,3848624,-,439,87082310,uhpC,b3667,-,-,membrane protein regulates uhpT expression
3460,3848634,3850136,-,500,87082311,uhpB,b3668,-,-,sensory histidine kinase in two-component regulatory sytem with UhpA
3461,3850136,3850726,-,196,1790102,uhpA,b3669,-,-,response regulator in two-component regulatory system wtih UhpB
3462,3850802,3851092,-,96,1790103,ilvN,b3670,-,-,acetolactate synthase 1 small subunit
3463,3851096,3852784,-,562,1790104,ilvB,b3671,-,-,acetolactate synthase 2 large subunit
3464,3852890,3852988,-,32,1790106,ivbL,b3672,-,-,ilvB operon leader peptide
3465,3853553,3853642,+,29,145693200,tisB,b4618,-,-,"toxic membrane persister formation peptide, LexA-regulated"
3466,3853922,3855106,+,394,87082312,emrD,b3673,-,-,multidrug efflux system protein
3467,3855114,3855611,-,165,1790108,yidF,b3674,-,-,putative Cys-type oxidative YidJ-maturating enzyme
3468,3855608,3855970,-,120,1790109,yidG,b3675,-,-,inner membrane protein
3469,3855960,3856307,-,115,1790110,yidH,b3676,-,-,DUF202 family inner membrane protein
3470,3856415,3856864,+,149,1790111,yidI,b3677,-,-,inner membrane protein
3471,3856911,3858404,-,497,1790112,yidJ,b3678,-,-,sulfatase/phosphatase superfamily protein
3472,3858401,3860116,-,571,1790113,yidK,b3679,-,-,putative transporter
3473,3860283,3861176,+,297,226510985,yidL,b3680,-,-,AraC family putative transcriptional regulator
3474,3863899,3864615,+,238,1790118,yidP,b3684,-,-,UTRA domain-containing GntR family putative transcriptional regulator
3475,3864612,3866273,-,553,87082315,yidE,b3685,-,-,putative transporter
3476,3866469,3866897,-,142,87082316,ibpB,b3686,-,-,heat shock chaperone
3477,3867009,3867422,-,137,1790122,ibpA,b3687,-,-,heat shock chaperone
3478,3867728,3868060,+,110,87082317,yidQ,b3688,-,-,DUF1375 family outer membrane protein
3479,3868062,3869309,-,415,308199520,yidR,b3689,-,-,DUF3748 family protein
3480,3869377,3870441,+,354,87082319,cbrA,b3690,-,-,"colicin M resistance protein; FAD-binding protein, putative oxidoreductase"
3481,3870438,3871730,-,430,87082320,dgoT,b3691,-,-,D-galactonate transporter
3482,3871850,3872998,-,382,48994953,dgoD,b4478,-,-,galactonate dehydratase
3483,3872995,3873612,-,205,48994954,dgoA,b4477,-,-,2-oxo-3-deoxygalactonate 6-phosphate aldolase
3484,3873596,3874474,-,292,1790128,dgoK,b3693,-,-,2-oxo-3-deoxygalactonate kinase
3485,3874471,3875160,-,229,48994955,dgoR,b4479,-,-,putative DNA-binding transcriptional regulator
3486,3875438,3876094,+,218,48994956,yidX,b3696,-,-,putative lipoprotein
3487,3876140,3876952,-,270,2367265,yidA,b3697,-,-,sugar phosphate phosphatase; substrates include erythrose 4-P and mannose 1-P phosphatase
3488,3877067,3877465,-,132,87082321,yidB,b3698,-,-,DUF937 family protein
3489,3877705,3880119,-,804,48994957,gyrB,b3699,-,-,"DNA gyrase, subunit B"
3490,3880148,3881221,-,357,1790135,recF,b3700,-,-,gap repair protein
3491,3881221,3882321,-,366,1790136,dnaN,b3701,-,-,"DNA polymerase III, beta subunit"
3492,3882326,3883729,-,467,2367267,dnaA,b3702,-,-,"chromosomal replication initiator protein DnaA, DNA-binding transcriptional dual regulator"
3493,3884336,3884476,+,46,1790138,rpmH,b3703,-,-,50S ribosomal subunit protein L34
3494,3884493,3884852,+,119,1790139,rnpA,b3704,-,-,protein C5 component of RNase P
3495,3884816,3885073,+,85,87082322,yidD,b4557,-,-,"membrane protein insertion efficiency factor, inner membrane protein, UPF0161 family"
3496,3885076,3886722,+,548,1790140,yidC,b3705,-,-,membrane protein insertase
3497,3886828,3888192,+,454,2367268,mnmE,b3706,-,-,tRNA U34 5-methylaminomethyl-2-thiouridine modification GTPase
3498,3888435,3888509,+,24,1790143,tnaC,b3707,-,-,tryptophanase leader peptide
3499,3888730,3890145,+,471,87082323,tnaA,b3708,-,-,"tryptophanase/L-cysteine desulfhydrase, PLP-dependent"
3500,3890236,3891483,+,415,1790145,tnaB,b3709,-,-,tryptophan transporter of low affinity
3501,3891615,3892790,+,391,1790146,mdtL,b3710,-,-,multidrug efflux system protein
3502,3892765,3893724,+,319,1790147,yidZ,b3711,-,-,putative DNA-binding transcriptional regulator
3503,3893881,3894630,+,249,226510986,yieE,b3712,-,-,phosphopantetheinyl transferase superfamily protein
3504,3894652,3895218,+,188,1790149,chrR,b3713,-,-,"chromate reductase, Class I, flavoprotein"
3505,3895272,3896609,-,445,1790150,purP,b3714,-,-,"adenine permease, high affinity; adenine:H+ symporter"
3506,3896774,3897439,+,221,1790151,yieH,b3715,-,-,phosphoenolpyruvate and 6-phosphogluconate phosphatase
3507,3897506,3897973,+,155,1790152,cbrB,b3716,-,-,"PRK09823 family inner membrane protein, creBC regulon"
3508,3898022,3898609,+,195,1790153,cbrC,b3717,-,-,UPF0167 family protein
3509,3898671,3899393,-,240,48994958,yieK,b3718,-,-,putative 6-phosphogluconolactonase
3510,3899408,3900577,-,389,145693201,yieL,b3719,-,-,putative xylanase
3511,3900604,3902220,-,538,1790157,bglH,b3720,-,-,"carbohydrate-specific outer membrane porin, cryptic"
3512,3902289,3903701,-,470,2367270,bglB,b3721,-,-,cryptic phospho-beta-glucosidase B
3513,3903720,3905597,-,625,1790159,bglF,b3722,-,-,fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component
3514,3905731,3906567,-,278,1790160,bglG,b3723,-,-,transcriptional antiterminator of the bgl operon
3515,3906853,3907578,-,241,1790161,phoU,b3724,-,-,negative regulator of PhoR/PhoB two-component regulator
3516,3907593,3908366,-,257,1790162,pstB,b3725,-,-,phosphate transporter subunit
3517,3908549,3909439,-,296,1790163,pstA,b3726,-,-,phosphate transporter subunit
3518,3909439,3910398,-,319,1790164,pstC,b3727,-,-,phosphate transporter subunit
3519,3910485,3911525,-,346,2367271,pstS,b3728,-,-,"periplasmic phosphate binding protein, high-affinity"
3520,3911839,3913668,-,609,1790167,glmS,b3729,-,-,L-glutamine:D-fructose-6-phosphate aminotransferase
3521,3913830,3915200,-,456,1790168,glmU,b3730,-,-,fused N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase
3522,3915553,3915972,-,139,1790169,atpC,b3731,-,-,"F1 sector of membrane-bound ATP synthase, epsilon subunit"
3523,3915993,3917375,-,460,1790170,atpD,b3732,-,-,"F1 sector of membrane-bound ATP synthase, beta subunit"
3524,3917402,3918265,-,287,1790171,atpG,b3733,-,-,"F1 sector of membrane-bound ATP synthase, gamma subunit"
3525,3918316,3919857,-,513,1790172,atpA,b3734,-,-,"F1 sector of membrane-bound ATP synthase, alpha subunit"
3526,3919870,3920403,-,177,1790173,atpH,b3735,-,-,"F1 sector of membrane-bound ATP synthase, delta subunit"
3527,3920418,3920888,-,156,1790174,atpF,b3736,-,-,"F0 sector of membrane-bound ATP synthase, subunit b"
3528,3920950,3921189,-,79,1790175,atpE,b3737,-,-,"F0 sector of membrane-bound ATP synthase, subunit c"
3529,3921236,3922051,-,271,1790176,atpB,b3738,-,-,"F0 sector of membrane-bound ATP synthase, subunit a"
3530,3922060,3922440,-,126,87082325,atpI,b3739,-,-,"ATP synthase, membrane-bound accessory factor"
3531,3923057,3923680,-,207,1790179,rsmG,b3740,-,-,"16S rRNA m(7)G527 methyltransferase, SAM-dependent; glucose-inhibited cell-division protein"
3532,3923744,3925633,-,629,2367273,mnmG,b3741,-,-,5-methylaminomethyl-2-thiouridine modification at tRNA U34
3533,3926012,3926455,-,147,1790181,mioC,b3742,-,-,FMN-binding protein MioC
3534,3926545,3927003,-,152,1790182,asnC,b3743,-,-,transcriptional activator of asnA; autorepressor
3535,3927155,3928147,+,330,1790183,asnA,b3744,-,-,asparagine synthetase A
3536,3928152,3929603,-,483,48994959,viaA,b3745,-,-,stimulator of RavA ATPase activity; von Willebrand factor domain protein
3537,3929597,3931093,-,498,87082326,ravA,b3746,-,-,"hexameric AAA+ MoxR family ATPase, putative molecular chaperone"
3538,3931316,3933184,+,622,48994960,kup,b3747,-,-,potassium transporter
3539,3933351,3933770,+,139,87082327,rbsD,b3748,-,-,putative cytoplasmic sugar-binding protein
3540,3933778,3935283,+,501,1790190,rbsA,b3749,-,-,fused D-ribose transporter subunits of ABC superfamily: ATP-binding components
3541,3935288,3936253,+,321,1790191,rbsC,b3750,-,-,D-ribose transporter subunit
3542,3936278,3937168,+,296,1790192,rbsB,b3751,-,-,D-ribose transporter subunit
3543,3937294,3938223,+,309,1790193,rbsK,b3752,-,-,ribokinase
3544,3938227,3939219,+,330,1790194,rbsR,b3753,-,-,transcriptional repressor of ribose metabolism
3545,3939185,3940612,-,475,1790195,hsrA,b3754,-,-,putative multidrug or homocysteine efflux system
3546,3940635,3941327,-,230,48994961,yieP,b3755,-,-,putative transcriptional regulator
3547,3947128,3947967,-,279,48994962,hdfR,b4480,-,-,flhDC operon transcriptional repressor
3548,3948086,3948424,+,112,2367277,yifE,b3764,-,-,UPF0438 family protein
3549,3948449,3949969,-,506,145693202,yifB,b3765,-,-,bifunctional magnesium chelatase family protein and putative transcriptional regulator
3550,3950322,3950420,+,32,1790202,ilvL,b3766,-,-,ilvG operon leader peptide
3551,3950507,3950557,+,16,226510987,ilvX,b4669,-,-,uncharacterized protein
3552,3952201,3952464,+,87,1790204,ilvM,b3769,-,-,acetolactate synthase 2 small subunit
3553,3952484,3953413,+,309,48994963,ilvE,b3770,-,-,branched-chain amino-acid aminotransferase
3554,3953478,3955328,+,616,48994964,ilvD,b3771,-,-,dihydroxyacid dehydratase
3555,3955331,3956875,+,514,1790207,ilvA,b3772,-,-,"L-threonine dehydratase, biosynthetic; also known as threonine deaminase"
3556,3956927,3957820,-,297,1790208,ilvY,b3773,-,-,transcriptional activator of ilvC; autorepressor
3557,3957970,3959445,+,491,1790210,ilvC,b3774,-,-,"ketol-acid reductoisomerase, NAD(P)-binding"
3558,3959532,3959813,-,93,1790211,ppiC,b3775,-,-,peptidyl-prolyl cis-trans isomerase C (rotamase C)
3559,3960677,3962698,+,673,48994965,rep,b3778,-,-,DNA helicase and single-stranded DNA-dependent ATPase
3560,3962745,3964229,-,494,48994966,gpp,b3779,-,-,guanosine pentaphosphatase/exopolyphosphatase
3561,3964365,3965630,-,421,1790214,rhlB,b3780,-,-,ATP-dependent RNA helicase
3562,3965761,3966090,+,109,87082331,trxA,b3781,-,-,thioredoxin 1
3563,3966417,3967676,+,419,1790217,rho,b3783,-,-,transcription termination factor
3564,3967916,3969019,+,367,1790218,wecA,b3784,-,-,UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase
3565,3969031,3970077,+,348,87082332,wzzE,b3785,-,-,Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein
3566,3970133,3971263,+,376,48994967,wecB,b3786,-,-,UDP-N-acetyl glucosamine-2-epimerase
3567,3971260,3972522,+,420,48994968,wecC,b3787,-,-,UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
3568,3972522,3973589,+,355,48994969,rffG,b3788,-,-,"dTDP-glucose 4,6-dehydratase"
3569,3973608,3974489,+,293,1790224,rffH,b3789,-,-,glucose-1-phosphate thymidylyltransferase
3570,3974467,3975141,+,224,145693203,wecD,b3790,-,-,TDP-fucosamine acetyltransferase
3571,3975146,3976276,+,376,2367285,wecE,b3791,-,-,TDP-4-oxo-6-deoxy-D-glucose transaminase
3572,3976278,3977528,+,416,1790227,wzxE,b3792,-,-,O-antigen translocase
3573,3977525,3978604,+,359,48994971,wecF,b4481,-,-,TDP-Fuc4NAc:lipidIIFuc4NAc transferase
3574,3978601,3979953,+,450,2367288,wzyE,b3793,-,-,putative ECA polysaccharide chain elongation protein
3575,3979956,3980696,+,246,2367289,wecG,b3794,-,-,UDP-N-acetyl-D-mannosaminuronic acid transferase
3576,3980887,3982272,+,461,48994972,yifK,b3795,-,-,putative APC family amino acid transporter
3577,3982958,3984193,+,411,48994973,aslB,b3800,-,-,putative AslA-specific sulfatase-maturating enzyme
3578,3984352,3986007,-,551,1790233,aslA,b3801,-,-,putative Ser-type periplasmic non-aryl sulfatase
3579,3986686,3987882,-,398,1790234,hemY,b3802,-,-,putative protoheme IX synthesis protein
3580,3987885,3989066,-,393,1790235,hemX,b3803,-,-,putative uroporphyrinogen III methyltransferase
3581,3989088,3989828,-,246,1790236,hemD,b3804,-,-,uroporphyrinogen III synthase
3582,3989825,3990766,-,313,48994974,hemC,b3805,-,-,hydroxymethylbilane synthase
3583,3991153,3993699,+,848,1790238,cyaA,b3806,-,-,adenylate cyclase
3584,3993739,3994059,-,106,1790239,cyaY,b3807,-,-,iron-dependent inhibitor of iron-sulfur cluster formation; frataxin; iron-binding and oxidizing protein
3585,3994522,3994725,+,67,87082333,yifL,b4558,-,-,putative lipoprotein
3586,3994762,3995586,+,274,87082334,dapF,b3809,-,-,diaminopimelate epimerase
3587,3995583,3996290,+,235,1790243,yigA,b3810,-,-,DUF484 family protein
3588,3996287,3997183,+,298,1790244,xerC,b3811,-,-,site-specific tyrosine recombinase
3589,3997183,3997899,+,238,2367295,yigB,b3812,-,-,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase; pyrimidine phosphatase; riboflavin synthesis
3590,3997983,4000145,+,720,2367296,uvrD,b3813,-,-,DNA-dependent ATPase I and helicase II
3591,4000292,4001056,-,254,48994975,yigE,b4482,-,-,DUF2233 family protein
3592,4001426,4002376,+,316,2367297,corA,b3816,-,-,magnesium/nickel/cobalt transporter
3593,4002419,4002799,-,126,1790250,yigF,b3817,-,-,putative inner membrane protein
3594,4002813,4003193,-,126,87082335,yigG,b3818,-,-,PRK11371 family inner membrane protein
3595,4003288,4004178,-,296,48994976,rarD,b3819,-,-,putative chloramphenical resistance permease
3596,4004230,4004697,-,155,87082336,yigI,b3820,-,-,4HBT thioesterase family protein
3597,4004862,4005731,+,289,2367300,pldA,b3821,-,-,outer membrane phospholipase A
3598,4005864,4007693,+,609,48994977,recQ,b3822,-,-,ATP-dependent DNA helicase
3599,4007757,4008377,+,206,48994978,rhtC,b3823,-,-,threonine efflux pump
3600,4008439,4009059,-,206,48994979,rhtB,b3824,-,-,"homoserine, homoserine lactone and S-methyl-methionine efflux pump"
3601,4009170,4010192,+,340,48994980,pldB,b3825,-,-,lysophospholipase L2
3602,4010200,4011000,+,266,48994981,yigL,b3826,-,-,pyridoxal phosphate phosphatase
3603,4011076,4011975,+,299,1790261,yigM,b3827,-,-,putative inner membrane EamA-like transporter
3604,4011863,4012816,-,317,1790262,metR,b3828,-,-,methionine biosynthesis regulon transcriptional regulator
3605,4013053,4015314,+,753,2367304,metE,b3829,-,-,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase
3606,4015354,4016169,-,271,48994982,ysgA,b3830,-,-,putative carboxymethylenebutenolidase
3607,4016431,4017192,+,253,1790265,udp,b3831,-,-,uridine phosphorylase
3608,4017333,4018760,+,475,1790266,rmuC,b3832,-,-,DNA recombination protein
3609,4018855,4019610,+,251,48994983,ubiE,b3833,-,-,"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase/ S-adenosylmethionine:2-DMK methyltransferase"
3610,4019624,4020229,+,201,2367308,ubiJ,b3834,-,-,"aerobic ubiquinone synthesis protein, SCP2 family protein"
3611,4020226,4021866,+,546,2367309,ubiB,b3835,-,-,"regulator of octaprenylphenol hydroxylation, ubiquinone synthesis; regulator of 2'-N-acetyltransferase; putative ABC1 family protein kinase"
3612,4021945,4022214,+,89,87082337,tatA,b3836,-,-,TatABCE protein translocation system subunit
3613,4022218,4022733,+,171,48994984,tatB,b3838,-,-,TatABCE protein translocation system subunit
3614,4022736,4023512,+,258,2367313,tatC,b3839,-,-,TatABCE protein translocation system subunit
3615,4023554,4024336,+,260,48994985,tatD,b4483,-,-,quality control of Tat-exported FeS proteins; Mg-dependent cytoplasmic DNase
3616,4024333,4024821,-,162,1790276,rfaH,b3842,-,-,transcription antitermination protein
3617,4024988,4026481,+,497,1790277,ubiD,b3843,-,-,3-octaprenyl-4-hydroxybenzoate decarboxylase
3618,4026527,4027228,+,233,2367314,fre,b3844,-,-,NAD(P)H-flavin reductase
3619,4027609,4028772,-,387,48994986,fadA,b3845,-,-,3-ketoacyl-CoA thiolase (thiolase I)
3620,4028782,4030971,-,729,1790281,fadB,b3846,-,-,fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase
3621,4031161,4032492,+,443,1790282,pepQ,b3847,-,-,proline dipeptidase
3622,4032492,4033106,+,204,87082338,yigZ,b3848,-,-,UPF0029 family protein
3623,4033145,4034596,+,483,48994987,trkH,b3849,-,-,potassium transporter
3624,4034608,4035153,+,181,1790285,hemG,b3850,-,-,"protoporphyrin oxidase, flavoprotein"
3625,4040906,4041433,-,175,145693204,mobB,b3856,-,-,molybdopterin-guanine dinucleotide biosynthesis protein B
3626,4041415,4041999,-,194,1790288,mobA,b3857,-,-,molybdopterin-guanine dinucleotide synthase
3627,4042069,4042338,+,89,1790289,yihD,b3858,-,-,DUF1040 protein YihD
3628,4042415,4043401,+,328,1790290,srkA,b3859,-,-,stress response kinase A; MazF antagonist; Thr/Ser kinase involved in Cpx stress response
3629,4043418,4044044,+,208,1790291,dsbA,b3860,-,-,periplasmic protein disulfide isomerase I
3630,4044199,4045629,+,476,87082339,yihF,b3861,-,-,DUF945 family protein
3631,4045670,4046602,-,310,1790293,yihG,b3862,-,-,"inner membrane protein, inner membrane acyltransferase"
3632,4046966,4049752,+,928,1790294,polA,b3863,-,-,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease
3633,4050133,4050765,-,210,145693205,yihA,b3865,-,-,cell division GTP-binding protein
3634,4051347,4051856,+,169,1790297,yihI,b3866,-,-,activator of Der GTPase
3635,4052045,4053418,+,457,87082341,hemN,b3867,-,-,"coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent"
3636,4053647,4053757,-,36,226510988,yshB,b4686,-,-,uncharacterized protein
3637,4053869,4055278,-,469,1790299,glnG,b3868,-,-,fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator/sigma54 interaction protein
3638,4055290,4056339,-,349,1790300,glnL,b3869,-,-,sensory histidine kinase in two-component regulatory system with GlnG
3639,4056625,4058034,-,469,1790301,glnA,b3870,-,-,glutamine synthetase
3640,4058407,4060230,+,607,48994988,typA,b3871,-,-,GTP-binding protein
3641,4060447,4061157,+,236,1790304,yihL,b3872,-,-,putative DNA-binding transcriptional regulator
3642,4061165,4062145,+,326,1790305,yihM,b3873,-,-,putative sugar phosphate isomerase
3643,4062247,4063512,+,421,1790306,yihN,b3874,-,-,MFS transporter family protein
3644,4063603,4064295,-,230,1790307,ompL,b3875,-,-,outer membrane porin L
3645,4064363,4065766,-,467,48994989,yihO,b3876,-,-,putative transporter
3646,4065809,4067194,-,461,145693206,yihP,b3877,-,-,putative transporter
3647,4067240,4069276,-,678,2367323,yihQ,b3878,-,-,alpha-glucosidase
3648,4069475,4070401,-,308,1790311,yihR,b3879,-,-,"mutarotase superfamily protein, YihR family"
3649,4070515,4071756,-,413,87082342,yihS,b3880,-,-,aldose-ketose isomerase; D-mannose isomerase
3650,4071773,4072651,-,292,1790314,yihT,b3881,-,-,putative aldolase
3651,4072675,4073571,-,298,1790315,yihU,b3882,-,-,"gamma-hydroxybutyrate dehydrogenase, NADH-dependent"
3652,4073739,4074635,+,298,87082343,yihV,b3883,-,-,putative sugar kinase
3653,4074669,4075454,+,261,87082344,yihW,b3884,-,-,DeoR family putative transcriptional regulator
3654,4075553,4076152,+,199,87082345,yihX,b3885,-,-,"alpha-D-Glucose-1-P phosphatase, anomer-specific"
3655,4076146,4077018,+,290,1790319,yihY,b3886,-,-,"BrkB family putative transporter, inner membrane protein"
3656,4077015,4077452,+,145,1790320,dtd,b3887,-,-,D-tyr-tRNA(Tyr) deacylase
3657,4077449,4078438,+,329,1790321,yiiD,b3888,-,-,putative acetyltransferase
3658,4079297,4079509,+,70,145693207,yiiE,b3889,-,-,CopG family putative transcriptional regulator
3659,4079751,4079969,+,72,87082347,yiiF,b3890,-,-,"putative thymol sensitivity protein, CopG family putative transcriptional regulator"
3660,4080299,4081228,-,309,1790324,fdhE,b3891,-,-,formate dehydrogenase formation protein
3661,4081225,4081860,-,211,1790325,fdoI,b3892,-,-,"formate dehydrogenase-O, cytochrome b556 subunit"
3662,4081857,4082759,-,300,1790326,fdoH,b3893,-,-,"formate dehydrogenase-O, Fe-S subunit"
3663,4082772,4085822,-,1016,3868720,fdoG,b3894,-,-,"formate dehydrogenase-O, large subunit"
3664,4086016,4086849,+,277,1790329,fdhD,b3895,-,-,formate dehydrogenase formation protein
3665,4087002,4088057,+,351,1790330,yiiG,b3896,-,-,DUF3829 family lipoprotein
3666,4088107,4089855,-,582,1790331,frvR,b3897,-,-,putative frv operon regulator; contains a PTS EIIA domain
3667,4089855,4090925,-,356,1790332,frvX,b3898,-,-,putative peptidase
3668,4090915,4092366,-,483,87082348,frvB,b3899,-,-,"putative PTS enzyme, IIB component/IIC component"
3669,4092377,4092823,-,148,2367327,frvA,b3900,-,-,putative enzyme IIA component of PTS
3670,4093124,4093438,-,104,1790335,rhaM,b3901,-,-,L-rhamnose mutarotase
3671,4093448,4094272,-,274,1790336,rhaD,b3902,-,-,rhamnulose-1-phosphate aldolase
3672,4094723,4095982,-,419,48994990,rhaA,b3903,-,-,L-rhamnose isomerase
3673,4095979,4097448,-,489,1790338,rhaB,b3904,-,-,rhamnulokinase
3674,4097736,4098572,+,278,1790339,rhaS,b3905,-,-,transcriptional activator of rhaBAD and rhaT
3675,4098646,4099494,+,282,171474011,rhaR,b3906,-,-,transcriptional activator of rhaSR
3676,4099491,4100525,-,344,1790341,rhaT,b3907,-,-,L-rhamnose:proton symporter
3677,4100810,4101430,+,206,1790342,sodA,b3908,-,-,"superoxide dismutase, Mn"
3678,4101690,4102673,+,327,87082349,kdgT,b3909,-,-,2-keto-3-deoxy-D-gluconate transporter
3679,4102822,4103496,+,224,87082350,yiiM,b3910,-,-,6-N-hydroxylaminopurine resistance protein
3680,4103602,4104975,-,457,1790346,cpxA,b3911,-,-,sensory histidine kinase in two-component regulatory system with CpxR
3681,4104972,4105670,-,232,2367329,cpxR,b3912,-,-,response regulator in two-component regulatory system with CpxA
3682,4105820,4106320,+,166,48994991,cpxP,b4484,-,-,inhibitor of the cpx response; periplasmic adaptor protein
3683,4106469,4107371,+,300,1790349,fieF,b3915,-,-,ferrous iron and zinc transporter
3684,4107552,4108514,+,320,1790350,pfkA,b3916,-,-,6-phosphofructokinase I
3685,4108834,4109823,+,329,1790351,sbp,b3917,-,-,sulfate transporter subunit
3686,4109930,4110685,+,251,1790352,cdh,b3918,-,-,CDP-diacylglycerol phosphotidylhydrolase
3687,4110740,4111507,-,255,1790353,tpiA,b3919,-,-,triosephosphate isomerase
3688,4111615,4112214,-,199,1790354,yiiQ,b3920,-,-,DUF1454 family putative periplasmic protein
3689,4112315,4112755,+,146,1790355,yiiR,b3921,-,-,DUF805 family putative inner membrane protein
3690,4112967,4113266,+,99,1790357,yiiS,b3922,-,-,UPF0381 family protein
3691,4113293,4113721,+,142,1790358,uspD,b3923,-,-,stress-induced protein
3692,4113726,4114472,-,248,1790359,fpr,b3924,-,-,ferredoxin-NADP reductase
3693,4114569,4115579,-,336,1790360,glpX,b3925,-,-,"fructose 1,6-bisphosphatase II"
3694,4115714,4117222,-,502,1790361,glpK,b3926,-,-,glycerol kinase
3695,4117245,4118090,-,281,1790362,glpF,b3927,-,-,glycerol facilitator
3696,4118515,4118760,+,81,1790363,zapB,b3928,-,-,"FtsZ stabilizer; septal ring assembly factor, stimulates cell division"
3697,4118845,4119330,-,161,1790364,rraA,b3929,-,-,ribonuclease E (RNase E) inhibitor protein
3698,4119423,4120349,-,308,1790365,menA,b3930,-,-,"1,4-dihydroxy-2-naphthoate octaprenyltransferase"
3699,4120416,4121747,-,443,1790366,hslU,b3931,-,-,molecular chaperone and ATPase component of HslUV protease
3700,4121757,4122287,-,176,1790367,hslV,b3932,-,-,peptidase component of the HslUV protease
3701,4122380,4123339,-,319,1790368,ftsN,b3933,-,-,essential cell division protein
3702,4123431,4124456,-,341,1790369,cytR,b3934,-,-,Anti-activator for CytR-CRP nucleoside utilization regulon
3703,4124612,4126810,-,732,1790370,priA,b3935,-,-,Primosome factor n' (replication factor Y)
3704,4127013,4127225,+,70,1790371,rpmE,b3936,-,-,50S ribosomal subunit protein L31
3705,4127286,4127894,-,202,1790372,yiiX,b3937,-,-,"putative lipid binding hydrolase, DUF830 family protein"
3706,4128078,4128395,-,105,1790373,metJ,b3938,-,-,"transcriptional repressor, S-adenosylmethionine-binding"
3707,4128672,4129832,+,386,1790375,metB,b3939,-,-,"cystathionine gamma-synthase, PLP-dependent"
3708,4129835,4132267,+,810,1790376,metL,b3940,-,-,Bifunctional aspartokinase/homoserine dehydrogenase 2
3709,4132616,4133506,+,296,1790377,metF,b3941,-,-,"5,10-methylenetetrahydrofolate reductase"
3710,4133835,4136015,+,726,1790378,katG,b3942,-,-,"catalase-peroxidase HPI, heme b-containing"
